————————————————————————————————————————————— ITEMS —————————————————————————————————————————————

Name: 3dPrintedArrow                   | ID: 618   | Type: Droppable, Ammo
Name: FireAxe                          | ID: 431   | Type: Equippable, Droppable, Weapon, Axe
Name: Fireweed                         | ID: 453   | Type: CraftingMaterial, Edible, Droppable
Name: FireweedSeed                     | ID: 601   | Type: Droppable
Name: Fish                             | ID: 436   | Type: Edible, Droppable
Name: Flare                            | ID: 440   | Type: Equippable, Droppable, Ammo, RangedWeapon, Weapon
Name: Flashlight                       | ID: 471   | Type: Equippable, CraftingMaterial, Droppable, Craftable
Name: FlashlightMod                    | ID: 378   | Type: CraftingMaterial, Droppable, Craftable, Extension
Name: Flask                            | ID: 475   | Type: Edible, Droppable
Name: Flippers                         | ID: 463   | Type: 0
Name: FlyAmanitaMushroom               | ID: 400   | Type: Edible, Droppable
Name: FoodCubeBrain                    | ID: 569   | Type: Edible, Droppable
Name: FoodCubeSteak                    | ID: 570   | Type: Edible, Droppable
Name: FoodCubeSteakAndBacon            | ID: 571   | Type: Edible, Droppable
Name: FoodTray                         | ID: 497   | Type: Droppable
Name: FoodTrayFilled                   | ID: 512   | Type: Droppable
Name: GoldenArmour                     | ID: 572   | Type: Clothing, Droppable
Name: GoldMask                         | ID: 435   | Type: Equippable, Droppable
Name: GolfBall                         | ID: 524   | Type: Equippable, Droppable, Ammo, RangedWeapon, Weapon
Name: GolfPutter                       | ID: 525   | Type: Equippable, Droppable, Weapon
Name: GPSLocator                       | ID: 529   | Type: Equippable, Droppable
Name: GPSTracker                       | ID: 412   | Type: Equippable, Craftable
Name: GrabBag                          | ID: 351   | Type: Equippable
Name: GRABSLaserPointer                | ID: 498   | Type: Craftable
Name: Grenade                          | ID: 381   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: GrenadeAmmo                      | ID: 382   | Type: Ammo
Name: GuaranaBerries                   | ID: 594   | Type: Edible, Droppable
Name: GuaranaSeed                      | ID: 602   | Type: Droppable
Name: Guitar                           | ID: 340   | Type: Equippable, Droppable, Weapon
Name: HalfLog                          | ID: 408   | Type: Equippable, Droppable
Name: HalfLogPlank                     | ID: 577   | Type: Equippable, Droppable
Name: HangGlider                       | ID: 626   | Type: Equippable, Droppable
Name: HealthMix                        | ID: 455   | Type: Edible, Droppable, Craftable
Name: HealthMixPlus                    | ID: 456   | Type: Edible, Droppable, Craftable
Name: HolovilleNoticeA                 | ID: 562   | Type: Equippable
Name: HolovilleNoticeB                 | ID: 563   | Type: Equippable
Name: HolovilleNoticeC                 | ID: 564   | Type: Equippable
Name: HolovilleNoticeD                 | ID: 565   | Type: Equippable
Name: Hoodie                           | ID: 490   | Type: Clothing, Droppable
Name: Horsetail                        | ID: 450   | Type: CraftingMaterial, Edible, Droppable
Name: HorsetailSeed                    | ID: 603   | Type: Droppable
Name: HydnumRepandumMushroom           | ID: 399   | Type: Edible, Droppable
Name: Katana                           | ID: 367   | Type: Equippable, Droppable, Weapon
Name: KeyCardGuest                     | ID: 567   | Type: Equippable
Name: KeyCardMaintenance               | ID: 566   | Type: Equippable
Name: KeyCardVIP                       | ID: 568   | Type: Equippable
Name: KingOysterMushroom               | ID: 398   | Type: Edible, Droppable
Name: SmallRock                        | ID: 630   | Type: Equippable, CraftingMaterial, Droppable, Ammo, RangedWeapon, Weapon
Name: LaserMeasureTool                 | ID: 505   | Type: Equippable, Craftable
Name: LaserSightMod                    | ID: 375   | Type: CraftingMaterial, Droppable, Craftable, Extension
Name: Leaf                             | ID: 484   | Type: CraftingMaterial, Droppable
Name: LeafArmour                       | ID: 473   | Type: Droppable, Craftable, Armor
Name: LeatherJacket                    | ID: 493   | Type: Clothing, Droppable
Name: Log_Legacy                       | ID: 78    | Type: Equippable, Droppable
Name: LogPlank                         | ID: 395   | Type: Equippable, Droppable
Name: LootPouch                        | ID: 508   | Type: CraftingMaterial, Droppable
Name: Machete2                         | ID: 359   | Type: Equippable, Droppable, Weapon
Name: Meat                             | ID: 433   | Type: Edible, Droppable
Name: ModernAxe                        | ID: 356   | Type: Equippable, Droppable, Craftable, Weapon, Axe
Name: Molotov                          | ID: 388   | Type: Equippable, Droppable, RangedWeapon, Craftable, Weapon
Name: MolotovAmmo                      | ID: 389   | Type: Droppable, Ammo
Name: Money                            | ID: 496   | Type: Droppable, Craftable
Name: MrePack                          | ID: 438   | Type: Edible, Droppable
Name: MrPufftonTableCard               | ID: 627   | Type: Equippable
Name: MrsPufftonTableCard              | ID: 628   | Type: Equippable
Name: NewspaperCutout                  | ID: 612   | Type: Equippable
Name: NewspaperCutoutOutbid            | ID: 613   | Type: Equippable
Name: NightVisionGoggles               | ID: 354   | Type: Droppable
Name: NovelA                           | ID: 423   | Type: Equippable
Name: NovelB                           | ID: 424   | Type: Equippable
Name: NovelC                           | ID: 574   | Type: Equippable
Name: NovelD                           | ID: 575   | Type: Equippable
Name: NovelF                           | ID: 631   | Type: Equippable
Name: NumbersPrintout                  | ID: 611   | Type: Equippable
Name: OldJacket                        | ID: 491   | Type: Clothing, Droppable
Name: Oyster                           | ID: 466   | Type: Edible, Droppable
Name: PaperTarget                      | ID: 518   | Type: Equippable, Droppable
Name: Pills                            | ID: 437   | Type: Edible, Droppable
Name: PistolAmmoBox                    | ID: 370   | Type: Droppable
Name: PistolSuppressor                 | ID: 374   | Type: CraftingMaterial, Droppable, Craftable, Extension
Name: PlasmaLighter                    | ID: 413   | Type: Equippable, Craftable
Name: PuffyJacket                      | ID: 500   | Type: Clothing, Droppable
Name: QuarterLog                       | ID: 406   | Type: Equippable, Droppable
Name: QuarterLogPlank                  | ID: 576   | Type: Equippable, Droppable
Name: Radio                            | ID: 590   | Type: Equippable, Droppable
Name: RamenNoodles                     | ID: 421   | Type: Edible, Droppable
Name: Rebreather                       | ID: 444   | Type: Equippable, Clothing, Droppable, Craftable
Name: RedMask                          | ID: 391   | Type: Equippable, Droppable
Name: RepairTool                       | ID: 422   | Type: Equippable, Craftable, Weapon
Name: Revolver                         | ID: 386   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: Rifle                            | ID: 361   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: RifleAmmo                        | ID: 387   | Type: Droppable, Ammo
Name: RifleRailMod                     | ID: 383   | Type: Droppable, Craftable, Extension
Name: Rock                             | ID: 393   | Type: Equippable, CraftingMaterial, Droppable, Weapon
Name: Rope                             | ID: 403   | Type: Equippable, CraftingMaterial, Droppable
Name: RopeGun                          | ID: 522   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: Salmonberries                    | ID: 447   | Type: Edible, Droppable
Name: SalmonberrySeed                  | ID: 604   | Type: Droppable
Name: ScopeMod                         | ID: 377   | Type: CraftingMaterial, Droppable, Craftable, Extension
Name: SeveredArm                       | ID: 480   | Type: Equippable, Edible, Droppable, Ammo, Projectile, RangedWeapon, Craftable, Weapon
Name: SeveredHead                      | ID: 482   | Type: Equippable, Droppable
Name: SeveredLeg                       | ID: 481   | Type: Equippable, Edible, Droppable, Ammo, Projectile, RangedWeapon, Weapon
Name: ShiitakeMushroom                 | ID: 397   | Type: Edible, Droppable
Name: ShotgunAmmoBoxBuckshot           | ID: 371   | Type: Droppable
Name: ShotgunAmmoBoxSlug               | ID: 372   | Type: Droppable
Name: ShotgunPumpAction                | ID: 358   | Type: Equippable, CraftingMaterial, Droppable, RangedWeapon, Craftable, Weapon
Name: ShotgunRail                      | ID: 346   | Type: CraftingMaterial, Droppable, Craftable, Extension
Name: Shovel                           | ID: 485   | Type: Equippable, Droppable, Weapon
Name: SilkPyjamas                      | ID: 487   | Type: Clothing, Droppable
Name: Skull                            | ID: 430   | Type: Equippable, CraftingMaterial, Droppable
Name: SleepingBag                      | ID: 573   | Type: Equippable, Droppable
Name: Slingshot                        | ID: 459   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: SlugAmmo                         | ID: 363   | Type: Droppable, Ammo
Name: SmallRock                        | ID: 476   | Type: Equippable, CraftingMaterial, Droppable, Ammo, RangedWeapon, Weapon
Name: Snowberries                      | ID: 448   | Type: Edible, Droppable
Name: Spring                           | ID: 513   | Type: Droppable
Name: Stick                            | ID: 392   | Type: Equippable, CraftingMaterial, Droppable, Weapon
Name: StockPricePrintout               | ID: 617   | Type: Equippable
Name: Structure Element                | ID: 520   | Type: Equippable, Droppable
Name: StunGun                          | ID: 353   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: StunGunAmmo                      | ID: 369   | Type: Droppable, Ammo
Name: StunGunAmmoBox                   | ID: 457   | Type: Droppable
Name: TacticalAxe                      | ID: 379   | Type: Equippable, Craftable, Weapon, Axe
Name: TacticalBoots                    | ID: 501   | Type: Clothing, Droppable
Name: TacticalBow                      | ID: 360   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: TacticalBowAmmo                  | ID: 373   | Type: Droppable, Ammo
Name: TacticalChainsaw                 | ID: 394   | Type: Equippable, CraftingMaterial, Droppable, Craftable, Weapon
Name: TacticalJacket                   | ID: 495   | Type: Clothing, Droppable
Name: TacticalPants                    | ID: 489   | Type: Clothing, Droppable
Name: Tarp                             | ID: 504   | Type: Equippable, Droppable
Name: TaserStick                       | ID: 396   | Type: Equippable, Droppable, Weapon
Name: TechArmour                       | ID: 554   | Type: Droppable, Craftable, Armor
Name: TechMesh                         | ID: 553   | Type: CraftingMaterial, Droppable
Name: ThreeQuarterLog                  | ID: 409   | Type: Equippable, Droppable
Name: ThreeQuarterLogPlank             | ID: 578   | Type: Equippable, Droppable
Name: TimeBomb                         | ID: 417   | Type: Equippable, Droppable, Ammo, Projectile, RangedWeapon, Craftable, Weapon
Name: Torch                            | ID: 503   | Type: Equippable, Droppable, Craftable, Weapon
Name: TrackerDart                      | ID: 366   | Type: Droppable, Ammo
Name: TurtleEgg                        | ID: 401   | Type: Edible, Droppable
Name: TurtleShell                      | ID: 506   | Type: Equippable, Droppable
Name: TutorialBook                     | ID: 589   | Type: Equippable, Craftable
Name: TutorialPageBasicBuilding        | ID: 515   | Type: Equippable
Name: TutorialPageTarpTent             | ID: 516   | Type: Equippable, Craftable
Name: Tuxedo                           | ID: 492   | Type: Clothing, Droppable
Name: Twinberries                      | ID: 446   | Type: Edible, Droppable
Name: VirginiaCamoSuit                 | ID: 558   | Type: Clothing, Droppable
Name: VirginiaDress                    | ID: 556   | Type: Clothing, Droppable
Name: VirginiaLeatherSuit              | ID: 557   | Type: Clothing, Droppable
Name: VirginiaSwimSuit                 | ID: 619   | Type: Clothing, Droppable
Name: VirginiaTrackSuit                | ID: 555   | Type: Clothing, Droppable
Name: VodkaBottle                      | ID: 414   | Type: CraftingMaterial, Droppable
Name: WalkieTalkie                     | ID: 486   | Type: Equippable, Droppable
Name: Wetsuit                          | ID: 499   | Type: Clothing, Droppable
Name: Wire                             | ID: 418   | Type: CraftingMaterial, Droppable
Name: Wristwatch                       | ID: 410   | Type: CraftingMaterial, Droppable
Name: Yarro                            | ID: 452   | Type: CraftingMaterial, Edible, Droppable
Name: YarroSeed                        | ID: 606   | Type: Droppable
Name: ZiplineRope                      | ID: 523   | Type: Droppable, Ammo, Craftable
